Image,Class,Parent,X,Y,Layer,Nearest_Distance
A22-312CD34NEUN.svs,Neuron,Layer2,5200.4,1166.3,Layer2,45.69212185924413
A22-312CD34NEUN.svs,Neuron,Layer2,5381.9,1171.5,Layer2,28.98033816227816
A22-312CD34NEUN.svs,Neuron,Layer2,5540.9,1170.8,Layer2,81.23847610584556
A22-312CD34NEUN.svs,Neuron,Layer2,5367.8,1176.4,Layer2,42.22037422856369
A22-312CD34NEUN.svs,Neuron,Layer2,5401.9,1179.1,Layer2,30.801623333843768
A22-312CD34NEUN.svs,Neuron,Layer2,5106.7,1174.2,Layer2,99.05190558490025
A22-312CD34NEUN.svs,Neuron,Layer2,5460.7,1179.4,Layer2,13.242356285797248
A22-312CD34NEUN.svs,Neuron,Layer2,5286.8,1177.0,Layer2,38.453348358758156
A22-312CD34NEUN.svs,Neuron,Layer2,5491.5,1178.9,Layer2,38.486491136501044
A22-312CD34NEUN.svs,Neuron,Layer2,5116.3,1179.8,Layer2,92.73300383358672
A22-312CD34NEUN.svs,Neuron,Layer2,5385.2,1181.6,Layer2,36.10927858598096
A22-312CD34NEUN.svs,Neuron,Layer2,5105.5,1186.8,Layer2,86.95493085501259
A22-312CD34NEUN.svs,Neuron,Layer2,5288.1,1187.4,Layer2,48.7767362581797
A22-312CD34NEUN.svs,Neuron,Layer2,5365.6,1190.2,Layer2,53.755743879142315
A22-312CD34NEUN.svs,Neuron,Layer2,5275.7,1188.9,Layer2,48.4103294762596
A22-312CD34NEUN.svs,Neuron,Layer2,5395.5,1191.9,Layer2,43.674477672892635
A22-312CD34NEUN.svs,Neuron,Layer2,5046.5,1190.5,Layer2,79.60408280986607
A22-312CD34NEUN.svs,Neuron,Layer2,5161.0,1194.5,Layer2,45.7389330876882
A22-312CD34NEUN.svs,Neuron,Layer2,5253.4,1194.2,Layer2,53.13473440227162
A22-312CD34NEUN.svs,Neuron,Layer2,5128.6,1195.9,Layer2,76.39430607054412
A22-312CD34NEUN.svs,Neuron,Layer2,5236.9,1195.8,Layer2,37.25815347007911
A22-312CD34NEUN.svs,Neuron,Layer2,5401.5,1200.5,Layer2,52.1423052808369
A22-312CD34NEUN.svs,Neuron,Layer2,5069.1,1199.2,Layer2,67.21458175128375
A22-312CD34NEUN.svs,Neuron,Layer2,5148.9,1201.3,Layer2,55.42309987721782
A22-312CD34NEUN.svs,Neuron,Layer2,5415.6,1202.5,Layer2,41.029989032413816
A22-312CD34NEUN.svs,Neuron,Layer2,5364.9,1209.9,Layer2,70.51595564125896
